 ElephantHeartbeat , BloodOxygen , BodyTemperature ,HealthStatus
36.48,97.73,37.07,Healthy
35.78,95.44,37.07,Healthy
26.54,99.86,37.07,Healthy
29.69,96.79,37.03,Healthy
27.56,95.24,36.57,Healthy
33.46,99.59,36.18,Healthy
34.69,95.62,36.31,Healthy
35,99.21,37.11,Healthy
27.62,99.29,36.97,Healthy
32.82,99.59,36.44,Healthy
32.05,96.74,36.53,Healthy
37.43,96.19,36.52,Healthy
30.75,96.91,36.64,Healthy
36.85,96.34,36.71,Healthy
27.09,97.23,36.86,Healthy
39.04,99.78,36.8,Healthy
38.91,97.84,36.77,Healthy
38.41,97.85,36.59,Healthy
37.84,95.54,36.72,Healthy
31.3,97.66,36.21,Healthy
35.59,95.05,36.16,Healthy
30.08,96.74,36.46,Healthy
39.24,96.58,36.49,Healthy
35.09,95.32,37.19,Healthy
39.85,96.41,36.16,Healthy
34.94,99.81,36.2,Healthy
31.26,99.4,36.55,Healthy
33.88,97.44,36.81,Healthy
30.51,96.35,36.83,Healthy
37.73,96.95,36.49,Healthy
28.47,96,36.85,Healthy
37.5,98.98,36.64,Healthy
33.04,99.81,36.56,Healthy
38.69,95.78,37.16,Healthy
25.07,96.36,36.27,Healthy
33.7,95.17,36.59,Healthy
37.34,98.5,36.49,Healthy
36.78,98.2,36.46,Healthy
39.43,96.78,36.83,Healthy
36.38,97.87,36.34,Healthy
38.25,98.81,36.35,Healthy
30.13,97.86,36.46,Healthy
36.3,99.68,36.57,Healthy
28.26,98.29,36.57,Healthy
29.1,97.59,36.86,Healthy
30.37,99.2,36.63,Healthy
31.4,95.25,36.48,Healthy
25.98,99.3,36.21,Healthy
27.42,95.89,36.61,Healthy
37.7,95.54,36.93,Healthy
38.93,96.31,36.64,Healthy
33.99,98.11,36.85,Healthy
34.95,97.43,36.16,Healthy
30.14,96.27,36.89,Healthy
34.34,97.2,36.45,Healthy
33.52,95.19,36.72,Healthy
31.65,99.85,36.2,Healthy
26.06,98.52,37.04,Healthy
27.33,97.38,36.25,Healthy
30.66,97.74,36.4,Healthy
32.17,97.95,36.23,Healthy
36.76,97.15,36.41,Healthy
37.47,98.9,36.57,Healthy
36.08,97.09,36.48,Healthy
35.99,97.1,36.21,Healthy
27.31,95.54,37.17,Healthy
32.88,97.45,36.73,Healthy
32.73,95.35,37.08,Healthy
36.83,97.46,36.13,Healthy
30.97,98.65,36.7,Healthy
37.93,99.79,37.13,Healthy
36.49,97.87,36.81,Healthy
27.62,98.46,36.15,Healthy
39.82,98.9,36.21,Healthy
28.36,99.9,36.36,Healthy
25.54,96.32,36.62,Healthy
33.91,96.54,36.55,Healthy
32.99,97.82,36.31,Healthy
28.16,97.05,36.81,Healthy
26.64,99.52,36.93,Healthy
25.16,95.25,36.85,Healthy
31.27,99.79,36.68,Healthy
39.69,95.1,36.21,Healthy
29.3,97.47,37.08,Healthy
26.79,95.93,36.71,Healthy
34.19,97.52,36.24,Healthy
33.83,95.53,36.43,Healthy
31.95,95.71,36.69,Healthy
30.82,99.01,36.1,Healthy
28.65,95.24,36.75,Healthy
37.01,96.88,36.3,Healthy
